character,story,archetype,Care,Fairness,Loyalty,Authority,Sanctity,Liberty,overall_morality
Freddie Lounds,Freddie Lounds/Hannibal,Adventurer-Demon-Heroes,-0.4299091679676077,-0.3398179091970569,-0.08369140173145756,-0.7054346896077802,-0.5963132145621408,0.7428034760241903,-0.23539381784030886
Jim Holden,Jim Holden/The Expanse,Heroes,0.5479467347932634,0.6734460126118413,0.7333198214627074,-0.02428070078118763,0.39813580008175964,0.42988028103065423,0.4597413248665064
Naomi Nagata,Naomi Nagata/The Expanse,Heroes,0.45703218852714456,0.6106776394348268,0.6368104621648192,-0.1528703358708732,0.2809798578784189,0.5076088104485272,0.3900397704304772
Amos Burton,Amos Burton/The Expanse,Lone Wolf-Demon-Heroes,-0.10345453061211898,0.11902031114089483,0.2458337325137785,-0.38459184759997717,-0.2429469870805246,0.5579230218951318,0.03196395004286406
Chrisjen Avasarala,Chrisjen Avasarala/The Expanse,Heroes,0.04811261645357474,0.1926749506212602,0.4129225296442898,-0.10751535148533652,-0.07986519107925821,0.5604302417466142,0.17112663265019068
Alex Kamal,Alex Kamal/The Expanse,Adventurer-Angel-Heroes,0.6684060543890417,0.6791726670482142,0.6754978567273758,0.09685672924954761,0.5069818822890421,0.09465494285204328,0.45359502209254415
Bobbie Draper,Bobbie Draper/The Expanse,Heroes,0.21439095861738824,0.4211871875900076,0.6102910968267021,0.04908579741655845,0.13004190717929684,0.40193004574837005,0.3044878322297206
Nina Sayers,Nina Sayers/Black Swan,Outcast-Diva-Heroes,0.13817266643901063,0.18554104513373332,0.2908407642655211,0.34896971536260146,0.18093250988617182,-0.14930835472704201,0.16585805772666606
Lily,Lily/Black Swan,Adventurer-Demon-Heroes,-0.17952641391465107,-0.07463322083169875,0.0042564390276214345,-0.7842187413595404,-0.3941520746615832,0.7949101531372376,-0.10556064310043574
Thomas Leroy,Thomas Leroy/Black Swan,Demon-Heroes,-0.6320767533421519,-0.4999536784602449,-0.16826712280515643,-0.46383241714336376,-0.7422358572147714,0.601875783322068,-0.3174150076072701
Jane Eyre,Jane Eyre/Jane Eyre,Outcast-Angel-Heroes,0.6622878146940544,0.746488597366948,0.7104710993240099,0.43064015803079436,0.6349254508233133,0.04043412807078047,0.5375412080516501
Edward Fairfax Rochester,Edward Fairfax Rochester/Jane Eyre,Demon-Heroes,-0.4416416204057145,-0.3156200809349763,0.01987707932206338,-0.4243125043327596,-0.5854948404462731,0.5990317889396328,-0.19136002964300455
Donald G. Malarkey,Donald G. Malarkey/Band of Brothers,Brute-Outcast-Adventurers,0.5471132205441989,0.5592770359089799,0.6612635752976341,-0.11090319752795726,0.3862981210589073,0.1923294043156294,0.3725630265995654
Richard D. Winters,Richard D. Winters/Band of Brothers,Angel-Heroes,0.5865415720120102,0.7174606657614722,0.7455963207162453,0.4525817948626296,0.5625866156037677,0.13130362662946649,0.5326784325975985
Lewis Nixon,Lewis Nixon/Band of Brothers,Adventurer-Heroes,0.29303231971255167,0.3489746196738087,0.4860584233402635,-0.18050602361356868,0.055406189981609295,0.44432985710671435,0.2412158977002298
Eugene G. Roe,Eugene G. Roe/Band of Brothers,Angel-Heroes,0.6998185365751001,0.8047112404368512,0.7693754703110707,0.41105324854135356,0.6215420334397472,0.07515708812108247,0.5636096029042008
C. Carwood Lipton,C. Carwood Lipton/Band of Brothers,Brute-Angel-Heroes,0.617101309338209,0.7120381393536608,0.7342740112210063,0.5649682038931009,0.5912704181253609,-0.03783231264966751,0.5303032948802784
