index	differential	flipped differential	left pole	right pole	card url
123	sporty :: bookish	bookish :: sporty	sporty	bookish	https://compstorylab.org/archetypometrics/cards/sporty--bookish-1600-364-241.pdf
124	moderate :: extreme	extreme :: moderate	moderate	extreme	https://compstorylab.org/archetypometrics/cards/moderate--extreme-1600-364-241.pdf
125	angry :: good-humored	good-humored :: angry	angry	good-humored	https://compstorylab.org/archetypometrics/cards/angry--good-humored-1600-364-241.pdf
126	depressed :: bright	bright :: depressed	depressed	bright	https://compstorylab.org/archetypometrics/cards/depressed--bright-1600-364-241.pdf
127	self-conscious :: self-assured	self-assured :: self-conscious	self-conscious	self-assured	https://compstorylab.org/archetypometrics/cards/self-conscious--self-assured-1600-364-241.pdf
128	vulnerable :: armoured	armoured :: vulnerable	vulnerable	armoured	https://compstorylab.org/archetypometrics/cards/vulnerable--armoured-1600-364-241.pdf
129	warm :: cold	cold :: warm	warm	cold	https://compstorylab.org/archetypometrics/cards/warm--cold-1600-364-241.pdf
130	assertive :: passive	passive :: assertive	assertive	passive	https://compstorylab.org/archetypometrics/cards/assertive--passive-1600-364-241.pdf
131	active :: slothful	slothful :: active	active	slothful	https://compstorylab.org/archetypometrics/cards/active--slothful-1600-364-241.pdf
132	imaginative :: practical	practical :: imaginative	imaginative	practical	https://compstorylab.org/archetypometrics/cards/imaginative--practical-1600-364-241.pdf
133	adventurous :: stick-in-the-mud	stick-in-the-mud :: adventurous	adventurous	stick-in-the-mud	https://compstorylab.org/archetypometrics/cards/adventurous--stick-in-the-mud-1600-364-241.pdf
134	obedient :: rebellious	rebellious :: obedient	obedient	rebellious	https://compstorylab.org/archetypometrics/cards/obedient--rebellious-1600-364-241.pdf
135	competent :: incompetent	incompetent :: competent	competent	incompetent	https://compstorylab.org/archetypometrics/cards/competent--incompetent-1600-364-241.pdf
136	unambitious :: driven	driven :: unambitious	unambitious	driven	https://compstorylab.org/archetypometrics/cards/unambitious--driven-1600-364-241.pdf
137	simple :: complicated	complicated :: simple	simple	complicated	https://compstorylab.org/archetypometrics/cards/simple--complicated-1600-364-241.pdf
138	proletariat :: bourgeoisie	bourgeoisie :: proletariat	proletariat	bourgeoisie	https://compstorylab.org/archetypometrics/cards/proletariat--bourgeoisie-1600-364-241.pdf
139	alpha :: beta	beta :: alpha	alpha	beta	https://compstorylab.org/archetypometrics/cards/alpha--beta-1600-364-241.pdf
140	right-brained :: left-brained	left-brained :: right-brained	right-brained	left-brained	https://compstorylab.org/archetypometrics/cards/right-brained--left-brained-1600-364-241.pdf
141	thick-skinned :: sensitive	sensitive :: thick-skinned	thick-skinned	sensitive	https://compstorylab.org/archetypometrics/cards/thick-skinned--sensitive-1600-364-241.pdf
142	charismatic :: uninspiring	uninspiring :: charismatic	charismatic	uninspiring	https://compstorylab.org/archetypometrics/cards/charismatic--uninspiring-1600-364-241.pdf
143	feisty :: gracious	gracious :: feisty	feisty	gracious	https://compstorylab.org/archetypometrics/cards/feisty--gracious-1600-364-241.pdf
144	eloquent :: unpolished	unpolished :: eloquent	eloquent	unpolished	https://compstorylab.org/archetypometrics/cards/eloquent--unpolished-1600-364-241.pdf
145	high IQ :: low IQ	low IQ :: high IQ	high IQ	low IQ	https://compstorylab.org/archetypometrics/cards/high-iq--low-iq-1600-364-241.pdf
146	insider :: outsider	outsider :: insider	insider	outsider	https://compstorylab.org/archetypometrics/cards/insider--outsider-1600-364-241.pdf
147	morning lark :: night owl	night owl :: morning lark	morning lark	night owl	https://compstorylab.org/archetypometrics/cards/morning-lark--night-owl-1600-364-241.pdf
148	thin :: thick	thick :: thin	thin	thick	https://compstorylab.org/archetypometrics/cards/thin--thick-1600-364-241.pdf
149	sheeple :: conspiracist	conspiracist :: sheeple	sheeple	conspiracist	https://compstorylab.org/archetypometrics/cards/sheeple--conspiracist-1600-364-241.pdf
150	neat :: messy	messy :: neat	neat	messy	https://compstorylab.org/archetypometrics/cards/neat--messy-1600-364-241.pdf
151	vague :: precise	precise :: vague	vague	precise	https://compstorylab.org/archetypometrics/cards/vague--precise-1600-364-241.pdf
152	philosophical :: real	real :: philosophical	philosophical	real	https://compstorylab.org/archetypometrics/cards/philosophical--real-1600-364-241.pdf
153	modern :: historical	historical :: modern	modern	historical	https://compstorylab.org/archetypometrics/cards/modern--historical-1600-364-241.pdf
154	judgemental :: accepting	accepting :: judgemental	judgemental	accepting	https://compstorylab.org/archetypometrics/cards/judgemental--accepting-1600-364-241.pdf
155	average :: deviant	deviant :: average	average	deviant	https://compstorylab.org/archetypometrics/cards/average--deviant-1600-364-241.pdf
156	gossiping :: confidential	confidential :: gossiping	gossiping	confidential	https://compstorylab.org/archetypometrics/cards/gossiping--confidential-1600-364-241.pdf
157	official :: backdoor	backdoor :: official	official	backdoor	https://compstorylab.org/archetypometrics/cards/official--backdoor-1600-364-241.pdf
158	scholarly :: crafty	crafty :: scholarly	scholarly	crafty	https://compstorylab.org/archetypometrics/cards/scholarly--crafty-1600-364-241.pdf
159	leisurely :: hurried	hurried :: leisurely	leisurely	hurried	https://compstorylab.org/archetypometrics/cards/leisurely--hurried-1600-364-241.pdf
160	explorer :: builder	builder :: explorer	explorer	builder	https://compstorylab.org/archetypometrics/cards/explorer--builder-1600-364-241.pdf
161	captain :: first-mate	first-mate :: captain	captain	first-mate	https://compstorylab.org/archetypometrics/cards/captain--first-mate-1600-364-241.pdf
162	mysterious :: unambiguous	unambiguous :: mysterious	mysterious	unambiguous	https://compstorylab.org/archetypometrics/cards/mysterious--unambiguous-1600-364-241.pdf
163	independent :: codependent	codependent :: independent	independent	codependent	https://compstorylab.org/archetypometrics/cards/independent--codependent-1600-364-241.pdf
