index	character	character in latex	character/story	character/story in latex	card url
1322	Lord Business	Lord Business	Lord Business/The Lego Movie	Lord Business/The Lego Movie	https://compstorylab.org/archetypometrics/cards/The-Lego-Movie-Lord-Business-2000-464-341.pdf
1323	Vitruvius	Vitruvius	Vitruvius/The Lego Movie	Vitruvius/The Lego Movie	https://compstorylab.org/archetypometrics/cards/The-Lego-Movie-Vitruvius-2000-464-341.pdf
1324	Emmet Brickowski	Emmet Brickowski	Emmet Brickowski/The Lego Movie	Emmet Brickowski/The Lego Movie	https://compstorylab.org/archetypometrics/cards/The-Lego-Movie-Emmet-Brickowski-2000-464-341.pdf
1325	Wyldstyle	Wyldstyle	Wyldstyle/The Lego Movie	Wyldstyle/The Lego Movie	https://compstorylab.org/archetypometrics/cards/The-Lego-Movie-Wyldstyle-2000-464-341.pdf
1326	Batman	Batman	Batman/The Lego Movie	Batman/The Lego Movie	https://compstorylab.org/archetypometrics/cards/The-Lego-Movie-Batman-2000-464-341.pdf
1327	Jonah Simms	Jonah Simms	Jonah Simms/Superstore	Jonah Simms/Superstore	https://compstorylab.org/archetypometrics/cards/Superstore-Jonah-Simms-2000-464-341.pdf
1328	Dina Fox	Dina Fox	Dina Fox/Superstore	Dina Fox/Superstore	https://compstorylab.org/archetypometrics/cards/Superstore-Dina-Fox-2000-464-341.pdf
1329	Garrett McNeill	Garrett McNeill	Garrett McNeill/Superstore	Garrett McNeill/Superstore	https://compstorylab.org/archetypometrics/cards/Superstore-Garrett-McNeill-2000-464-341.pdf
1330	Mateo Liwanag	Mateo Liwanag	Mateo Liwanag/Superstore	Mateo Liwanag/Superstore	https://compstorylab.org/archetypometrics/cards/Superstore-Mateo-Liwanag-2000-464-341.pdf
1331	Glenn Sturgis	Glenn Sturgis	Glenn Sturgis/Superstore	Glenn Sturgis/Superstore	https://compstorylab.org/archetypometrics/cards/Superstore-Glenn-Sturgis-2000-464-341.pdf
1332	Amy Sosa	Amy Sosa	Amy Sosa/Superstore	Amy Sosa/Superstore	https://compstorylab.org/archetypometrics/cards/Superstore-Amy-Sosa-2000-464-341.pdf
1333	Andy Dufresne	Andy Dufresne	Andy Dufresne/The Shawshank Redemption	Andy Dufresne/The Shawshank Redemption	https://compstorylab.org/archetypometrics/cards/The-Shawshank-Redemption-Andy-Dufresne-2000-464-341.pdf
1334	Ellis Boyd 'Red' Redding	Ellis Boyd `Red' Redding	Ellis Boyd 'Red' Redding/The Shawshank Redemption	Ellis Boyd 'Red' Redding/The Shawshank Redemption	https://compstorylab.org/archetypometrics/cards/The-Shawshank-Redemption-Ellis-Boyd-Red-Redding-2000-464-341.pdf
